County,X,Y,Pop_2024,DWI_Num,DWI_Crash,DWI_Tot,DWI_Rate,DWI_Num_Rt,DWI_Cr_Rt
St. Louis,47.369145,-92.404547,200514,1010,105,1115,0.556070898,0.503705477,0.052365421
Scott,44.696343,-93.510829,155814,736,63,799,0.512790892,0.472358068,0.040432824
Sherburne,45.423675,-93.768027,102206,389,50,439,0.429524685,0.380603878,0.048920807
Sibley,44.574044,-94.220375,15084,89,6,95,0.629806417,0.59002917,0.039777247
Stearns,45.540863,-94.495886,160977,770,89,859,0.533616604,0.478329202,0.055287401
Steele,44.029614,-93.216018,37421,157,13,170,0.454290372,0.41955052,0.034739852
Stevens,45.579283,-95.981268,9728,38,1,39,0.400904605,0.390625,0.010279605
Swift,45.276989,-95.674223,9719,38,4,42,0.432143225,0.390986727,0.041156498
Todd,46.0824,-94.88336,25667,90,17,107,0.416877703,0.350644797,0.066232906
Traverse,45.766649,-96.500058,3136,11,2,13,0.414540816,0.350765306,0.06377551
Wabasha,44.294912,-92.215112,21683,123,13,136,0.627219481,0.567264677,0.059954803
Wadena,46.543768,-95.003269,14241,55,11,66,0.4634506,0.386208834,0.077241767
Waseca,44.026702,-93.577277,18981,42,6,48,0.252884463,0.221273905,0.031610558
Washington,44.999023,-92.909398,278936,1257,91,1348,0.483264978,0.450641007,0.032623971
Watonwan,43.984607,-94.610969,11077,50,9,59,0.53263519,0.451385754,0.081249436
Wilkin,46.323696,-96.478321,6306,59,4,63,0.999048525,0.935616873,0.063431652
Winona,44.008825,-91.741907,49721,347,12,359,0.722028921,0.69789425,0.024134671
Wright,45.188927,-93.915814,151150,671,61,732,0.484287132,0.443929871,0.040357261
Yellow Medicine,44.715391,-95.826886,9467,28,9,37,0.390831309,0.295764234,0.095067075
